,Unnamed: 0,equipment,model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,sunk,lost_by
0,0,Tanks,"Unknown T-54/55 (1, destroyed)",the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
1,1,Tanks,T-55A,the Soviet Union,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,russia
2,2,Tanks,T-62 Obr. 1967,the Soviet Union,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
3,3,Tanks,T-62M,the Soviet Union,64,0.0,0.0,30.0,0.0,5.0,0.0,5.0,0.0,24.0,0.0,russia
4,4,Tanks,T-62M Obr. 2022,Russia,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
5,5,Tanks,T-62MV,the Soviet Union,15,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,russia
6,6,Tanks,T-62MV Obr. 2022,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
7,7,Tanks,T-64A,the Soviet Union,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
8,8,Tanks,T-64BV,the Soviet Union,63,2.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,51.0,0.0,russia
9,9,Tanks,T-72 'Ural',the Soviet Union,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,russia
10,10,Tanks,T-72A,the Soviet Union,41,1.0,0.0,11.0,0.0,1.0,4.0,0.0,0.0,24.0,0.0,russia
11,11,Tanks,T-72AV,the Soviet Union,12,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,russia
12,12,Tanks,T-72B,the Soviet Union,306,10.0,0.0,62.0,3.0,7.0,11.0,7.0,0.0,205.0,0.0,russia
13,13,Tanks,T-72B Obr. 1989,the Soviet Union,92,3.0,1.0,17.0,0.0,2.0,5.0,3.0,0.0,60.0,0.0,russia
14,14,Tanks,T-72B Obr. 2022,Russia,6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,russia
15,15,Tanks,T-72BA,Russia,29,0.0,0.0,15.0,0.0,2.0,0.0,1.0,0.0,11.0,0.0,russia
16,16,Tanks,T-72B3,Russia,342,5.0,0.0,73.0,2.0,23.0,16.0,12.0,0.0,211.0,0.0,russia
17,17,Tanks,T-72B3 Obr. 2014,Russia,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
18,18,Tanks,T-72B3 Obr. 2016,Russia,239,2.0,3.0,93.0,0.0,4.0,1.0,10.0,0.0,126.0,0.0,russia
19,19,Tanks,T-72B3 Obr. 2022,Russia,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,russia
20,20,Tanks,Unknown T-72,Russia,122,1.0,0.0,4.0,0.0,17.0,1.0,0.0,0.0,99.0,0.0,russia
21,21,Tanks,T-80B,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
22,22,Tanks,T-80BV,the Soviet Union,406,8.0,1.0,77.0,0.0,19.0,28.0,7.0,0.0,266.0,0.0,russia
23,23,Tanks,T-80BV Obr. 2022,Russia,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,russia
24,24,Tanks,T-80U,Russia,94,6.0,3.0,39.0,0.0,1.0,0.0,5.0,0.0,38.0,0.0,russia
25,25,Tanks,T-80UK,Russia,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
26,26,Tanks,T-80UE-1,Russia,6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
27,27,Tanks,T-80UM2,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
28,28,Tanks,T-80BVM,Russia,98,0.0,0.0,28.0,1.0,5.0,2.0,4.0,0.0,57.0,0.0,russia
29,29,Tanks,T-80BVM Obr. 2022,Russia,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,russia
30,30,Tanks,Unknown T-80,Russia,8,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,russia
31,31,Tanks,T-90A,Russia,34,1.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,russia
32,32,Tanks,T-90AK,Russia,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
33,33,Tanks,T-90S,Russia,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,russia
34,34,Tanks,T-90M,Russia,40,0.0,0.0,3.0,0.0,7.0,7.0,0.0,0.0,23.0,0.0,russia
35,35,Tanks,Unknown tank,Russia,272,4.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,235.0,0.0,russia
36,36,Armoured Fighting Vehicles,BMPT Terminator,Russia,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,russia
37,37,Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,the Soviet Union,25,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,russia
38,38,Armoured Fighting Vehicles,BRM-1K Obr. 2021,Russia,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
39,39,Armoured Fighting Vehicles,BRDM-2,the Soviet Union,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
40,40,Armoured Fighting Vehicles,BRDM-2M/A,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
41,41,Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,the Soviet Union,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
42,42,Armoured Fighting Vehicles,BRDM-2-based ZS-82 PsyOps vehicle,the Soviet Union,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
43,43,Armoured Fighting Vehicles,BTR-80-based ZS-88 PsyOps vehicle,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
44,44,Armoured Fighting Vehicles,BTR-80 with 57mm UB-32 unguided aircraft rocket pods,the Soviet Union,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,russia
45,45,Armoured Fighting Vehicles,MT-LB,the Soviet Union,482,19.0,0.0,131.0,1.0,11.0,4.0,7.0,0.0,309.0,0.0,russia
46,46,Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,the Soviet Union,184,8.0,0.0,90.0,0.0,1.0,0.0,3.0,0.0,82.0,0.0,russia
47,47,Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,the Soviet Union,33,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,russia
48,48,Armoured Fighting Vehicles,MT-LB With 14.5mm BPU-1 Turret,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
49,49,Armoured Fighting Vehicles,MT-LB with 14.5mm 2M-7 naval gun mount,the Soviet Union,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
50,50,Armoured Fighting Vehicles,MT-LB with AZP S-60 AA gun,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
51,51,Armoured Fighting Vehicles,MT-LB with 100mm MT-12 anti-tank gun,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
52,52,Armoured Fighting Vehicles,MT-LB with 82-mm automatic mortar 2B9 Vasilek,the Soviet Union,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,russia
53,53,Armoured Fighting Vehicles,MT-LBu,the Soviet Union,16,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,russia
54,54,Armoured Fighting Vehicles,Vityaz DT-10PM articulated tracked carrier,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
55,55,Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,Russia,4,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,russia
56,56,Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,Russia,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
57,57,Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,the Soviet Union,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
58,58,Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,the Soviet Union,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,russia
59,59,Armoured Fighting Vehicles,BMM-80 ambulance,the Soviet Union,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
60,60,Armoured Fighting Vehicles,Unknown AFV,Russia,202,2.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,187.0,0.0,russia
61,61,Infantry Fighting Vehicles,BMP-1(P),the Soviet Union,517,13.0,0.0,83.0,1.0,26.0,27.0,8.0,0.0,359.0,0.0,russia
62,62,Infantry Fighting Vehicles,BMP-1AM,Russia,35,2.0,0.0,4.0,1.0,3.0,4.0,3.0,0.0,18.0,0.0,russia
63,63,Infantry Fighting Vehicles,BMP-2(K),the Soviet Union,979,33.0,0.0,222.0,0.0,22.0,30.0,24.0,0.0,648.0,0.0,russia
64,64,Infantry Fighting Vehicles,BMP-2(K),the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
