,equipment,model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,sunk,lost_by
0,Tanks,"Unknown T-54/55 (1, destroyed)",the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
1,Tanks,T-55A,the Soviet Union,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,russia
2,Tanks,T-62 Obr. 1967,the Soviet Union,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
3,Tanks,T-62M,the Soviet Union,64,0.0,0.0,30.0,0.0,5.0,0.0,5.0,0.0,24.0,0.0,russia
4,Tanks,T-62M Obr. 2022,Russia,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
5,Tanks,T-62MV,the Soviet Union,15,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,russia
6,Tanks,T-62MV Obr. 2022,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
7,Tanks,T-64A,the Soviet Union,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
8,Tanks,T-64BV,the Soviet Union,63,2.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,51.0,0.0,russia
9,Tanks,T-72 'Ural',the Soviet Union,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,russia
10,Tanks,T-72A,the Soviet Union,41,1.0,0.0,11.0,0.0,1.0,4.0,0.0,0.0,24.0,0.0,russia
11,Tanks,T-72AV,the Soviet Union,12,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,russia
12,Tanks,T-72B,the Soviet Union,306,10.0,0.0,62.0,3.0,7.0,11.0,7.0,0.0,205.0,0.0,russia
13,Tanks,T-72B Obr. 1989,the Soviet Union,92,3.0,1.0,17.0,0.0,2.0,5.0,3.0,0.0,60.0,0.0,russia
14,Tanks,T-72B Obr. 2022,Russia,6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,russia
15,Tanks,T-72BA,Russia,29,0.0,0.0,15.0,0.0,2.0,0.0,1.0,0.0,11.0,0.0,russia
16,Tanks,T-72B3,Russia,342,5.0,0.0,73.0,2.0,23.0,16.0,12.0,0.0,211.0,0.0,russia
17,Tanks,T-72B3 Obr. 2014,Russia,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
18,Tanks,T-72B3 Obr. 2016,Russia,239,2.0,3.0,93.0,0.0,4.0,1.0,10.0,0.0,126.0,0.0,russia
19,Tanks,T-72B3 Obr. 2022,Russia,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,russia
20,Tanks,Unknown T-72,Russia,122,1.0,0.0,4.0,0.0,17.0,1.0,0.0,0.0,99.0,0.0,russia
21,Tanks,T-80B,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
22,Tanks,T-80BV,the Soviet Union,406,8.0,1.0,77.0,0.0,19.0,28.0,7.0,0.0,266.0,0.0,russia
23,Tanks,T-80BV Obr. 2022,Russia,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,russia
24,Tanks,T-80U,Russia,94,6.0,3.0,39.0,0.0,1.0,0.0,5.0,0.0,38.0,0.0,russia
