equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled,sunk,sunk but raised by Russia
Tanks,M-55S,,Slovenia,2,,,,,,1.0,,,,1.0,,,
Tanks,T-64A,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Tanks,T-64B,,the Soviet Union,4,,,,1.0,,,,1.0,,2.0,,,
Tanks,T-64BV,,the Soviet Union,244,,3.0,,49.0,8.0,23.0,6.0,4.0,,151.0,,,
Tanks,T-64BV Zr. 2017,,Ukraine,82,,3.0,,28.0,,5.0,1.0,,,45.0,,,
Tanks,T-64B1M,,Ukraine,9,,,,7.0,,,,,,2.0,,,
Tanks,T-64BM 'Bulat',,Ukraine,14,,,,4.0,,3.0,,,,7.0,,,
Tanks,T-64BM2 'Bulat',,Ukraine,5,,,,,,1.0,,,,4.0,,,
Tanks,Unknown T-64,,Ukraine,2,,,,,,,,,,2.0,,,
Tanks,T-72 'Ural',,the Soviet Union,4,,,,1.0,,1.0,,,,2.0,,,
Tanks,T-72M/M1(R),,Poland,61,,1.0,,8.0,,1.0,6.0,1.0,,44.0,,,
Tanks,T-72EA,,the Czech Republic,7,,,,1.0,,,,,,6.0,,,
Tanks,T-72AV,,the Soviet Union,32,,2.0,,6.0,,2.0,1.0,2.0,,19.0,,,
Tanks,T-72B,,the Soviet Union,41,,,,6.0,,2.0,,1.0,,32.0,,,
Tanks,T-72AMT,,Ukraine,18,,,,4.0,,1.0,2.0,2.0,,9.0,,,
Tanks,T-72AMT Zr.2022,,Ukraine,2,,,,,,,1.0,,,1.0,,,
Tanks,PT-91 Twardy,,Poland,2,,,,,,,,,,2.0,,,
Tanks,Unknown T-72,,Ukraine,16,,,,,,1.0,,,,15.0,,,
Tanks,T-80BV,,the Soviet Union,54,,1.0,,9.0,,3.0,1.0,6.0,,34.0,,,
Tanks,Leopard 2A4,,Germany,7,,,,,,4.0,,,,3.0,,,
Tanks,Leopard 2A6,,Germany,9,,,,,,3.0,3.0,,,3.0,,,
Tanks,Stridsvagn 122,,Sweden,2,,,,,,,2.0,,,,,,
Tanks,Challenger 2,,the United Kingdom,1,,,,,,,,,,1.0,,,
Tanks,Unknown tank,,Ukraine,37,,,,,,1.0,,,,36.0,,,
Armoured Fighting Vehicles,AMX-10 RC(R),,France,4,,2.0,,1.0,,,,,,1.0,,,
Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,,the Soviet Union,44,,3.0,,11.0,,1.0,1.0,1.0,,27.0,,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,64,,,,27.0,,,,,,37.0,,,
Armoured Fighting Vehicles,BRDM-2L1,,Ukraine,47,,,,17.0,,1.0,,,,29.0,,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,11,,,,2.0,,,,,,9.0,,,
Armoured Fighting Vehicles,Vepr,,Ukraine,2,,,,,,,,,,2.0,,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,54,,1.0,,8.0,,1.0,,,,44.0,,,
Armoured Fighting Vehicles,MT-LB,with ZU-23-2 cannon,the Soviet Union,1,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,9,,,,2.0,,,,,,7.0,,,
Armoured Fighting Vehicles,MT-LB with BPU-1 turret,,the Soviet Union,1,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,BTS-4 ARV with ZU-23 AA gun,,the Soviet Union,1,,,,1.0,,,,,,,,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,6,,,,3.0,,,,,,3.0,,,
Armoured Fighting Vehicles,MT-LB-S Ambulance,,Ukraine,20,,1.0,,5.0,,,,,,14.0,,,
Armoured Fighting Vehicles,BMM-70 Ambulance,,Ukraine,2,,,,,,,,,,2.0,,,
Armoured Fighting Vehicles,BMM-4C Ambulance,,Ukraine,3,,,,2.0,,,,,,1.0,,,
Armoured Fighting Vehicles,Unknown AFV,,Ukraine,58,,,,,,6.0,1.0,,,51.0,,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,343,,16.0,1.0,46.0,,9.0,6.0,3.0,,262.0,,,
Infantry Fighting Vehicles,BMP-1TS,,Ukraine,1,,,,,,,,,,1.0,,,
Infantry Fighting Vehicles,BMP-1U Shkval,,Ukraine,2,,,,2.0,,,,,,,,,
Infantry Fighting Vehicles,BWP-1,,Poland,3,,,,1.0,,,,,,2.0,,,
Infantry Fighting Vehicles,Pbv 501A,,Sweden,6,,,,1.0,,,,,,5.0,,,
Infantry Fighting Vehicles,BVP M-80A,,Yugoslavia %281946-1992%29,7,,,,,,3.0,1.0,,,3.0,,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,173,,9.0,,24.0,,5.0,5.0,,,130.0,,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,27,,,,,,,,,,27.0,,,
Infantry Fighting Vehicles,PRP-3 with a BMD-2 turret,,the Soviet Union,2,,,,,,,,,,2.0,,,
Infantry Fighting Vehicles,PRP-3 with a BMP-1 turret,,the Soviet Union,1,,,,,,,,,,1.0,,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,5,,,,4.0,,,,,,1.0,,,
Infantry Fighting Vehicles,M2A2 Bradley ODS-SA,,the United States,55,,,,,,21.0,6.0,,,28.0,,,
Infantry Fighting Vehicles,CV9040C,,Sweden,4,,,,,,2.0,1.0,1.0,,,,,
Infantry Fighting Vehicles,Marder 1A3,,Germany,2,,,,,,,1.0,,,1.0,,,
Infantry Fighting Vehicles,BTR-3,,Ukraine,41,,,,12.0,,1.0,,,,28.0,,,
Infantry Fighting Vehicles,BTR-4,,Ukraine,86,,2.0,,22.0,3.0,4.0,3.0,,,52.0,,,
Infantry Fighting Vehicles,KTO Rosomak,,Poland,3,,1.0,,,,1.0,,,,1.0,,,
Armoured Personnel Carriers,BTR-60PB,,the Soviet Union,22,,,,7.0,,,,1.0,,14.0,,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,28,,,,10.0,1.0,4.0,,,,13.0,,,
Armoured Personnel Carriers,BTR-70M,,Ukraine,8,,2.0,,1.0,,,,,,5.0,,,
Armoured Personnel Carriers,BTR-7,,Ukraine,26,,,,20.0,,,,,,6.0,,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,107,,,,34.0,,2.0,1.0,2.0,,68.0,,,
Armoured Personnel Carriers,BTR-80M,,Ukraine,2,,,,2.0,,,,,,,,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Armoured Personnel Carriers,GT-MU AFV converted to APC,,the Soviet Union,1,,,,1.0,,,,,,,,,
