,equipment,model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,sunk,lost_by
0,Tanks,M-55S,Slovenia,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,ukraine
1,Tanks,T-64A,the Soviet Union,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
2,Tanks,T-64B,the Soviet Union,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,ukraine
3,Tanks,T-64BV,the Soviet Union,244,3.0,0.0,49.0,8.0,23.0,6.0,4.0,0.0,151.0,0.0,ukraine
4,Tanks,T-64BV Zr. 2017,Ukraine,82,3.0,0.0,28.0,0.0,5.0,1.0,0.0,0.0,45.0,0.0,ukraine
5,Tanks,T-64B1M,Ukraine,9,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
6,Tanks,T-64BM 'Bulat',Ukraine,14,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,ukraine
7,Tanks,T-64BM2 'Bulat',Ukraine,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,ukraine
8,Tanks,Unknown T-64,Ukraine,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
9,Tanks,T-72 'Ural',the Soviet Union,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,ukraine
10,Tanks,T-72M/M1(R),Poland,61,1.0,0.0,8.0,0.0,1.0,6.0,1.0,0.0,44.0,0.0,ukraine
11,Tanks,T-72EA,the Czech Republic,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,ukraine
12,Tanks,T-72AV,the Soviet Union,32,2.0,0.0,6.0,0.0,2.0,1.0,2.0,0.0,19.0,0.0,ukraine
13,Tanks,T-72B,the Soviet Union,41,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,32.0,0.0,ukraine
14,Tanks,T-72AMT,Ukraine,18,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,9.0,0.0,ukraine
15,Tanks,T-72AMT Zr.2022,Ukraine,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,ukraine
16,Tanks,PT-91 Twardy,Poland,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
17,Tanks,Unknown T-72,Ukraine,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,ukraine
18,Tanks,T-80BV,the Soviet Union,54,1.0,0.0,9.0,0.0,3.0,1.0,6.0,0.0,34.0,0.0,ukraine
19,Tanks,Leopard 2A4,Germany,7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,ukraine
20,Tanks,Leopard 2A6,Germany,9,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,ukraine
21,Tanks,Stridsvagn 122,Sweden,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,ukraine
22,Tanks,Challenger 2,the United Kingdom,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
23,Tanks,Unknown tank,Ukraine,37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,ukraine
24,Armoured Fighting Vehicles,AMX-10 RC(R),France,4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
25,Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,the Soviet Union,44,3.0,0.0,11.0,0.0,1.0,1.0,1.0,0.0,27.0,0.0,ukraine
26,Armoured Fighting Vehicles,BRDM-2,the Soviet Union,64,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,ukraine
27,Armoured Fighting Vehicles,BRDM-2L1,Ukraine,47,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,ukraine
28,Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,the Soviet Union,11,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,ukraine
